"GeneA"	"GeneB"	"Connection"
"VEGFA_(dimer)_(complex)"	"VEGFR2/3_(dimer)/VEGFA_(dimer)_(complex)"	"component>"
"VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/NRP1_(complex)"	"component>"
"VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/NRP2_(complex)"	"component>"
"VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"component>"
"VEGFA_homodimer_(complex)"	"VEGFAB_and_PLGF_homodimers_(family)"	"member>"
"VEGFA_homodimer_(complex)"	"VEGFACDE_(family)"	"member>"
"VEGFA121_(dimer)_(complex)"	"VEGFR2/3_(dimer)/VEGFA121_(dimer)_(complex)"	"component>"
"VEGFA121_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA121_(dimer)_(complex)"	"component>"
"VEGFA145_(dimer)_(complex)"	"VEGFA145_(dimer)/NRP2_(complex)"	"component>"
"VEGFA145_(dimer)_(complex)"	"VEGFR2/3_(dimer)/VEGFA145_(dimer)_(complex)"	"component>"
"VEGFA145_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA145_(dimer)_(complex)"	"component>"
"VEGFA165B_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA165B_(dimer)_(complex)"	"component>"
"VEGFA189_(dimer)_(complex)"	"VEGFR1_(dimer)/VEGFA189_(dimer)_(complex)"	"component>"
"VEGFA189_(dimer)_(complex)"	"VEGFR2/3_(dimer)/VEGFA189_(dimer)_(complex)"	"component>"
"VEGFA189_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA189_(dimer)_(complex)"	"component>"
"VEGFA206_(dimer)_(complex)"	"VEGFR1_(dimer)/VEGFA206_(dimer)_(complex)"	"component>"
"VEGFAB_and_PLGF_homodimers_(family)"	"VEGFR1/VEGFABPGLF_(complex)"	"component>"
"VEGFACDE_(family)"	"VEGFR2/VEGFACDE_(complex)"	"component>"
"VEGFB"	"Vascular_endothelial_growth_factor_(family)"	"member>"
"VEGFB"	"VEGF_(family)"	"member>"
"VEGFB"	"VEGFB"	"-a>"
"VEGFB"	"VEGFB_homodimer_(complex)"	"component>"
"VEGFB"	"VEGFB167_(dimer)_(complex)"	"component>"
"VEGFB"	"VEGFB186_(dimer)_(complex)"	"component>"
"VEGFB"	"VEGFR1_(dimer)/VEGFB167_(dimer)_(complex)"	"component>"
"VEGFB"	"VEGFR1_(dimer)/VEGFB186_(dimer)_(complex)"	"component>"
"VEGFB"	"VEGFR1_homodimer/VEGFB_homodimer_(complex)"	"component>"
"VEGFB_homodimer_(complex)"	"VEGFAB_and_PLGF_homodimers_(family)"	"member>"
"VEGFB_homodimer_(complex)"	"VEGFR1_homodimer/VEGFB_homodimer_(complex)"	"component>"
"VEGFB167_(dimer)_(complex)"	"VEGFR1_(dimer)/VEGFB167_(dimer)_(complex)"	"component>"
"VEGFB186_(dimer)_(complex)"	"VEGFR1_(dimer)/VEGFB186_(dimer)_(complex)"	"component>"
"VEGFC"	"alpha9/beta1_Integrin/VEGFC_(dimer)_(complex)"	"component>"
"VEGFC"	"Vascular_endothelial_growth_factor_(family)"	"member>"
"VEGFC"	"VEGF_(family)"	"member>"
"VEGFC"	"VEGFC_(dimer)_(complex)"	"component>"
"VEGFC"	"VEGFC_homodimer_(complex)"	"component>"
"VEGFC"	"VEGFC-D_(family)"	"member>"
"VEGFC"	"VEGFR2/3/VEGFC_(dimer)_(complex)"	"component>"
"VEGFC"	"VEGFR2/3_(dimer)/VEGFC_(dimer)/NRP2_(complex)"	"component>"
"VEGFC"	"VEGFR2_(dimer)/VEGFC_(dimer)_(complex)"	"component>"
"VEGFC"	"VEGFR3_(dimer)/VEGFC/VEGFD_(complex)"	"component>"
"VEGFC"	"VEGFR3_(dimer)/VEGFC_(dimer)/NRP2_(complex)"	"component>"
"VEGFC"	"VEGFR3_(dimer)/VEGFC_(dimer)_(complex)"	"component>"
"VEGFC_(dimer)_(complex)"	"alpha9/beta1_Integrin/VEGFC_(dimer)_(complex)"	"component>"
"VEGFC_(dimer)_(complex)"	"VEGFR2/3/VEGFC_(dimer)_(complex)"	"component>"
"VEGFC_(dimer)_(complex)"	"VEGFR2/3_(dimer)/VEGFC_(dimer)/NRP2_(complex)"	"component>"
"VEGFC_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFC_(dimer)_(complex)"	"component>"
"VEGFC_(dimer)_(complex)"	"VEGFR3_(dimer)/VEGFC_(dimer)/NRP2_(complex)"	"component>"
"VEGFC_(dimer)_(complex)"	"VEGFR3_(dimer)/VEGFC_(dimer)_(complex)"	"component>"
"VEGFC_homodimer_(complex)"	"VEGFACDE_(family)"	"member>"
"VEGFC_homodimer_(complex)"	"VEGF-CD_(family)"	"member>"
"VEGFC-D_(family)"	"VEGFR3/VEGFC-D/Crk_(complex)"	"component>"
"VEGFC-D_(family)"	"VEGFR3/VEGFC-D_(complex)"	"component>"
"VEGF-CD_(family)"	"VEGFR3/VEGF-C_and_D_(complex)"	"component>"
"VEGFD_(dimer)_(complex)"	"alpha9/beta1_Integrin/VEGFD_(dimer)_(complex)"	"component>"
"VEGFD_(dimer)_(complex)"	"VEGFR2/3_(dimer)/VEGFD_(dimer)_(complex)"	"component>"
"VEGFD_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFD_(dimer)_(complex)"	"component>"
"VEGFD_(dimer)_(complex)"	"VEGFR3_(dimer)/VEGFD_(dimer)_(complex)"	"component>"
"VEGFD_homodimer_(complex)"	"VEGFACDE_(family)"	"member>"
"VEGFD_homodimer_(complex)"	"VEGF-CD_(family)"	"member>"
"VEGFE__homodimer_(complex)"	"VEGFACDE_(family)"	"member>"
"VEGFR1/2_(dimer)/VEGFA_(dimer)_(complex)"	"PLCG1"	"-a|"
"VEGFR1_(family)"	"VEGFR1_dimer_(complex)"	"component>"
"VEGFR1_dimer_(complex)"	"NRP-2/VEGFR1_(complex)"	"component>"
"VEGFR1_dimer_(complex)"	"VEGFR1/VEGFABPGLF_(complex)"	"component>"
"VEGFR1_homodimer/NRP1_(complex)"	"VEGFR1_homodimer/NRP1/VEGFR_121_(complex)"	"component>"
"VEGFR1_homodimer/NRP2_(complex)"	"VEGFR1_homodimer/NRP2/VEGFR121_(complex)"	"component>"
"VEGFR1_homodimer/PLGF_homodimer_(complex)"	"PI3K_(complex)"	"-a|"
"VEGFR1_homodimer/PLGF_homodimer_(complex)"	"PLCG1"	"-a|"
"VEGFR1_homodimer/VEGFA_homodimer/CBL/CD2AP_(complex)"	"ubiquitin-dependent_protein_catabolic_process_(abstract)"	"-a>"
"VEGFR1_homodimer/VEGFA_homodimer_(complex)"	"AKT3"	"-t>"
"VEGFR1_homodimer/VEGFA_homodimer_(complex)"	"VEGFR1_homodimer/VEGFA_homodimer/CBL/CD2AP_(complex)"	"component>"
"VEGFR1_homodimer/VEGFA_homodimer_(complex)"	"VEGFR1_homodimer/VEGFA_homodimer/NCK1_(complex)"	"component>"
"VEGFR1_homodimer/VEGFA_homodimer_(complex)"	"VEGFR1_homodimer/VEGFA_homodimer/SHP2_(complex)"	"component>"
"VEGFR1_homodimer/VEGFB_homodimer_(complex)"	"RASA1"	"-a|"
"VEGFR1_homodimer_(complex)"	"GPC1/VEGF165_homodimer/VEGFR1_homodimer_(complex)"	"component>"
"VEGFR1_homodimer_(complex)"	"VEGFR1_homodimer/NRP1_(complex)"	"component>"
"VEGFR1_homodimer_(complex)"	"VEGFR1_homodimer/NRP2_(complex)"	"component>"
"VEGFR1_homodimer_(complex)"	"VEGFR1_homodimer/PLGF_homodimer_(complex)"	"component>"
"VEGFR1_homodimer_(complex)"	"VEGFR1_homodimer/VEGFA_homodimer_(complex)"	"component>"
"VEGFR1_homodimer_(complex)"	"VEGFR1_homodimer/VEGFB_homodimer_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)/alphav/beta3_Integrin/Vitronectin_(complex)"	"SRC"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)/CBL_(complex)"	"PLCG1"	"-a>"
"VEGFR2_(dimer)/VEGFA_(dimer)/Fyn/NCK1-2/PAK2_(complex)"	"CDC42/GTP_(complex)"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)/Hsp90/alphav/beta3_Integrin/Vitronectin_(complex)"	"RHOA/GTP_(complex)"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)/IQGAP1_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR2_(dimer)/VEGFA_(dimer)/IQGAP1_(complex)"	"oxygen_and_reactive_oxygen_species_metabolic_process_(abstract)"	"-a>"
"VEGFR2_(dimer)/VEGFA_(dimer)/Myoferlin/Dynamin_2/GTP_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/CBL_(complex)"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)/Src/Shb_(complex)"	"actin_cytoskeleton_reorganization_(abstract)"	"-a>"
"VEGFR2_(dimer)/VEGFA_(dimer)/Src/Shb_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR2_(dimer)/VEGFA_(dimer)/Src/Shb_(complex)"	"focal_adhesion_assembly_(abstract)"	"-a>"
"VEGFR2_(dimer)/VEGFA_(dimer)/Src_(complex)"	"IQGAP1"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)/Src_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/Src/Shb_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)/TSAd_(complex)"	"actin_cytoskeleton_reorganization_(abstract)"	"-a>"
"VEGFR2_(dimer)/VEGFA_(dimer)/VE-cadherin/beta_catenin/alpha_catenin_(complex)"	"PTPRJ"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"ARF1/GTP_(complex)"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"FES"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"GAB1/SHP2/PKA/eNOS_(complex)"	"-a>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"GRB2/GAB1_(complex)"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"PLCG1"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"SRC"	"-a|"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/alphav/beta3_Integrin/Vitronectin_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/CBL_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/Fyn/NCK1-2/PAK2_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/Hsp90/alphav/beta3_Integrin/Vitronectin_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/IQGAP1/VE-cadherin/beta_catenin/alpha_catenin_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/IQGAP1_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/Myoferlin/Dynamin_2/GTP_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/Src_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/TSAd_(complex)"	"component>"
"VEGFR2_(dimer)/VEGFA_(dimer)_(complex)"	"VEGFR2_(dimer)/VEGFA_(dimer)/VE-cadherin/beta_catenin/alpha_catenin_(complex)"	"component>"
"VEGFR2_dimer_(complex)"	"NRP1/VERGF165/VERGFR2_(complex)"	"component>"
"VEGFR2_dimer_(complex)"	"VEGFR2/VEGFACDE_(complex)"	"component>"
"VEGFR2_homodimer/VEGFA_homodimer/Src_(complex)"	"PTK2"	"-a|"
"VEGFR2_homodimer/VEGFA_homodimer_(complex)"	"alphav/beta3_Integrin/VEGFR2/VEGFA_(dimer)_(complex)"	"component>"
"VEGFR2_homodimer/VEGFA_homodimer_(complex)"	"S1PR1"	"-t>"
"VEGFR2_homodimer/VEGFA_homodimer_(complex)"	"VEGF/Rho/ROCK/alphav/beta3_Integrin_(complex)"	"component>"
"VEGFR3/Fibronectin/alpha4/beta1_Integrin_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR3/Fibronectin/alpha5/beta1_Integrin_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR3/Type_I_Collagen/alpha1/beta1_Integrin_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR3/Type_I_Collagen/alpha2/beta1_Integrin_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR3/VEGFC-D/Crk_(complex)"	"MAP2K4"	"-a|"
"VEGFR3/VEGFC-D_(complex)"	"lymphangiogenesis_(abstract)"	"-a>"
"VEGFR3/VEGFC-D_(complex)"	"PI3K_(complex)"	"-a|"
"VEGFR3/VEGFC-D_(complex)"	"PKC_(family)"	"-a|"
"VEGFR3/VEGFC-D_(complex)"	"SHC/GRB2/SOS1_(complex)"	"-a|"
"VEGFR3/VEGFC-D_(complex)"	"vasculogenesis_(abstract)"	"-a>"
"VEGFR3/VEGFC-D_(complex)"	"VEGFR3/VEGFC-D/Crk_(complex)"	"component>"
"VEGFR3/VEGFD/Fibronectin/alpha4/beta1_Integrin_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR3/VEGFD/Fibronectin/alpha5/beta1_Integrin_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR3/VEGFD/Type_I_Collagen/alpha1/beta1_Integrin_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR3/VEGFD/Type_I_Collagen/alpha2/beta1_Integrin_(complex)"	"cell_migration_(abstract)"	"-a>"
"VEGFR3/VEGFD_(complex)"	"VEGFR3/VEGFD/Fibronectin/alpha4/beta1_Integrin_(complex)"	"component>"
"VEGFR3/VEGFD_(complex)"	"VEGFR3/VEGFD/Fibronectin/alpha5/beta1_Integrin_(complex)"	"component>"
"VEGFR3/VEGFD_(complex)"	"VEGFR3/VEGFD/Type_I_Collagen/alpha1/beta1_Integrin_(complex)"	"component>"
"VEGFR3/VEGFD_(complex)"	"VEGFR3/VEGFD/Type_I_Collagen/alpha2/beta1_Integrin_(complex)"	"component>"
"VEGFR3_dimer_(complex)"	"VEGFR3/VEGF-C_and_D_(complex)"	"component>"
"VEZF1"	"IL3"	"-t>"
"VHL"	"ANGPT2"	"-t|"
"VHL"	"AR"	"-t>"
"VHL"	"BHLHE40"	"-t"
"VHL"	"CA12"	"-t"
"VHL"	"CA9"	"-t"
"VHL"	"CCND1"	"-t"
"VHL"	"CDKN1B"	"-t>"
"VHL"	"CDKN1C"	"-t>"
"VHL"	"COL4A2"	"-t"
"VHL"	"CXCR4"	"-t|"
"VHL"	"DAB2"	"-t>"
"VHL"	"HIF1A"	"-t|"
"VHL"	"IGF1R"	"-t|"
"VHL"	"KLF10"	"-t"
"VHL"	"NMU"	"-t|"
"VHL"	"SPARC"	"-t>"
"VHL"	"TCF4"	"-t"
"VHL"	"TFRC"	"-t|"
"VHL"	"TP53"	"-t"
"VHL"	"VBC_complex_(complex)"	"component>"
"VHL"	"VEGFA"	"-t|"
"VHL"	"VHL/E2/HIF-1-alpha/ubiquitin_(complex)"	"component>"
"VHL"	"VHL/E2/ubiquitin_(complex)"	"component>"
"VHL"	"VHL/Elongin_B/Elongin_C/HIF2A_(complex)"	"component>"
"VHL"	"VHL/Elongin_B/Elongin_C/RBX1/CUL2/HIF1A_(complex)"	"component>"
"VHL"	"VHL/Elongin_B/Elongin_C/RBX1/CUL2_(complex)"	"component>"
"VHL"	"VHL/Elongin_B/Elongin_C_(complex)"	"component>"
"VHL/E2/ubiquitin_(complex)"	"VHL/E2/HIF-1-alpha/ubiquitin_(complex)"	"component>"
"VHL/Elongin_B/Elongin_C/RBX1/CUL2_(complex)"	"VHL/Elongin_B/Elongin_C/RBX1/CUL2/HIF1A_(complex)"	"component>"
"VHL/Elongin_B/Elongin_C_(complex)"	"VHL/Elongin_B/Elongin_C/HIF2A_(complex)"	"component>"
"VIF"	"HIV-1/VIF/gag-pol/env_(complex)"	"component>"
"VIF"	"HIV-1/VIF_(complex)"	"component>"
"VIF"	"VIF/Hck_(complex)"	"component>"
"Vif/APOBEC3G_complex_(complex)"	"APOBEC3G/Vif/Cul5/SCF_complex_(complex)"	"component>"
"VIM"	"apoptosis_(abstract)"	"-a>"
"VIM"	"Z_Disk_Complex_(complex)"	"component>"
"Vinculin/Talin_(complex)"	"focal_adhesion_formation_(abstract)"	"-a>"
"VIP"	"Ligands_of_GPCRs_that_activate_Gs_(family)"	"member>"
"VIP"	"VIP_receptor/VIP_(complex)"	"component>"
"VIP_receptor/VIP_(complex)"	"Ligand/GPCR_complexes_that_activate_Gs_(family)"	"member>"
"VIP_receptor_(family)"	"GPCRs_that_activate_Gs_(family)"	"member>"
"VIP_receptor_(family)"	"VIP_receptor/VIP_(complex)"	"component>"
"VIPR1"	"VIP_receptor_(family)"	"member>"
"VIPR2"	"VIP_receptor_(family)"	"member>"
"viral_DNA/Ku_proteins/XRCC4/DNA_ligase_IV_complex_(complex)"	"2-LTR_form_of_circular_viral_DNA_(complex)"	"-a>"
"viral_DNA/Ku_proteins/XRCC4/DNA_ligase_IV_complex_(complex)"	"Integrase_(family)"	"-a>"
"viral_DNA/Ku_proteins/XRCC4/DNA_ligase_IV_complex_(complex)"	"Ku70/Ku80_heterodimer_(complex)"	"-a>"
"viral_DNA/Ku_proteins/XRCC4/DNA_ligase_IV_complex_(complex)"	"XRCC4/DNA_ligase_IV_complex_(complex)"	"-a>"
"viral_DNA_bound_with_Integrase_(complex)"	"viral_DNA_bound_with_Integrase_in_PIC_(complex)"	"component>"
"viral_DNA_with_3prime_sticky_ends_(complex)"	"IN_bound_to_sticky_3prime_ends_of_viral_DNA_(complex)"	"component>"
"viral_dsRNA/TLR3/TRIF/polyUb-TRAF6/TAK1/TAB1/TAB2/TAB3/_free_polyUb_chain_(complex)"	"viral_dsRNA/TLR3/TRIF/pUb-TRAF6/TAB1/TAB2/TAB3/free_polyUb_chain_/_p-TAK1_(complex)"	"-a>"
"viral_dsRNA/TLR3/TRIF/p-TBK1/IKKE/IRF3/IRF7_(complex)"	"phosphorylated_IRF3/IRF7_(family)"	"-a>"
"viral_dsRNA/TLR3/TRIF/p-TBK1/IKKE/IRF3/IRF7_(complex)"	"viral_dsRNA/TLR3/TRIF/p-TBK1/p-IKKE_(complex)"	"-a>"
"viral_dsRNA/TLR3/TRIF/p-TBK1/p-IKKE_(complex)"	"viral_dsRNA/TLR3/TRIF/p-TBK1/IKKE/IRF3/IRF7_(complex)"	"component>"
"viral_dsRNA/TLR3/TRIF/RIP1_(complex)"	"Activated_IKK_Complex_(complex)"	"-a>"
"viral_dsRNA/TLR3/TRIF_(complex)"	"viral_dsRNA/TLR3/TRIF/p-TBK1/p-IKKE_(complex)"	"component>"
"viral_dsRNA/TLR3/TRIF_(complex)"	"viral_dsRNA/TLR3/TRIF/RIP1_(complex)"	"component>"
"viral_dsRNA/TLR3/TRIF_(complex)"	"viral_dsRNA/TLR3/TRIF/TRAF6_(complex)"	"component>"
"viral_dsRNA/TLR3/TRIF_(complex)"	"viral_dsRNA_/_TLR3_/_TRIF_/_pUb-TRAF6_(complex)"	"component>"
"viral_dsRNA_/_TLR3_/_TRIF_/_pUb-TRAF6_(complex)"	"K63-linked_polyUb_TRAF6_complexes_(family)"	"member>"
"viral_dsRNA_/_TLR3_/_TRIF_/_pUb-TRAF6_(complex)"	"viral_dsRNA/TLR3/TRIF/polyUb-TRAF6/TAK1/TAB1/TAB2/TAB3/_free_polyUb_chain_(complex)"	"component>"
"viral_dsRNA_/_TLR3_/_TRIF_/_pUb-TRAF6_(complex)"	"viral_dsRNA/TLR3/TRIF/pUb-TRAF6/TAB1/TAB2/TAB3/free_polyUb_chain_/_p-TAK1_(complex)"	"component>"
"viral_dsRNA_/TLR3_(complex)"	"viral_dsRNA/TLR3/TRIF_(complex)"	"component>"
"viral_genome_expression_(abstract)"	"EIF2AK2"	"-a>"
"viral_genome_replication_(abstract)"	"WNV_RNA_(rna)"	"-a>"
"Viral_Infectivity_Factor_(family)"	"Encapsidated_viral_core_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"IN_bound_to_sticky_3prime_ends_of_viral_DNA_in_PIC_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Mature_infectious_virion_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"PIC_(PreIntegration_Complex)_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC__(Reverse_Transcription_Complex)_with_RNA_template_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_annealed_complementary_PBS_seqments_in_+sssDNA_and_-strand_DNA_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_degraded_RNA_template_and_minus_sssDNA_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_duplex_DNA_containing_discontinuous_plus_strand_flap_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_extending_minus_strand_DNA_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_extending_second-strand_DNA_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_extensive_RNase-H_digestion_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_integration_competent_viral_DNA_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_minus_sssDNA/tRNA_primer/RNA_template_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_minus_sssDNA_containing_deaminated_C_residues/tRNA_primer/RNA_template_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_minus_sssDNA_transferred_to_3prime-end_of_viral_RNA_template_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_minus_strand_DNA_synthesis_initiated_from_3prime-end_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_nicked_minus_sssDNA/tRNA_primer/RNA_template_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_with_tRNA_primer/RNA_template_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"RTC_without_viral_RNA_template_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"uncoated_viral_complex_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Vif/APOBEC3G_complex_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Vif/Cul5/SCF_complex_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Viral_core_surrounded_by_Matrix_layer_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"viral_DNA_bound_with_Integrase_in_PIC_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"viral_PIC_proteins_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Virion_with_CD4/gp120_bound_to_CCR5/CXCR4_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Virion_with_CD4_bound_to_gp120_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Virion_with_exposed_coreceptor_binding_sites_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Virion_with_fusogenically_activated_gp41_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Virion_with_gp41_exposed_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Virion_with_gp41_forming_hairpin_structure_(complex)"	"component>"
"Viral_Infectivity_Factor_(family)"	"Virion_with_gp41_fusion_peptide_in_insertion_complex_(complex)"	"component>"
"Viral_RNA_dependent_RNA_polymerase_(complex)"	"cRNP_(complex)"	"-a>"
"Viral_RNA_dependent_RNA_polymerase_(complex)"	"Elongated_vRNA-mRNA_Complex_(complex)"	"component>"
"Viral_RNA_dependent_RNA_polymerase_(complex)"	"Initiated_cRNA-vRNA_Complex_(complex)"	"component>"
"Viral_RNA_dependent_RNA_polymerase_(complex)"	"Initiated_vRNA_Transcription_Complex_(complex)"	"component>"
"Viral_RNA_dependent_RNA_polymerase_(complex)"	"Initiated_vRNA-cRNA_Complex_(complex)"	"component>"
"Viral_RNA_dependent_RNA_polymerase_(complex)"	"viral_mRNA_(family)"	"-a>"
"Viral_RNA_dependent_RNA_polymerase_(complex)"	"Viral_RNA_dependent_RNA_polymerase_(complex)"	"-a>"
"Viral_RNA_dependent_RNA_polymerase_(complex)"	"vRNA/polymerase/host_mRNA_complex_(complex)"	"component>"
"Viral_RNA_dependent_RNA_polymerase_(complex)"	"vRNA_(Genomic)/NP_Complex_(complex)"	"-a>"
"vitamin_D_Binding_Protein/calcidiol_(complex)"	"Cubilin/vitamin_D_Binding_Protein/Calcidiol_(complex)"	"component>"
"VLDLR"	"RELN/LRP8_(complex)"	"component>"
"VLDLR"	"RELN/VLDLR/DAB1/Fyn_(complex)"	"component>"
"VLDLR"	"RELN/VLDLR/DAB1/LIS1/PAFAH1B2/PAFAH1B3_(complex)"	"component>"
"VLDLR"	"RELN/VLDLR/DAB1/LIS1_(complex)"	"component>"
"VLDLR"	"RELN/VLDLR/DAB1/PI3K_(complex)"	"component>"
"VLDLR"	"RELN/VLDLR/DAB1_(complex)"	"component>"
"VLDLR"	"RELN/VLDLR/Fyn_(complex)"	"component>"
"VLDLR"	"RELN/VLDLR_(complex)"	"component>"
"VLDLR"	"uPA/PAI-1_(complex)"	"-a>"
"VMAT1/2_(family)"	"Biogenic_amines_transported_by_VMAT1/2_(family)"	"-a>"
"Voltage_gated_potassium_channel_subunits_Kv1-12_(family)"	"Octamer_of_Voltage_gated_K+_channels_(complex)"	"component>"
"Voltage-gated_Calcium_Channel_L-type_1.2_(complex)"	"Voltage-gated_Calcium_Channels_(pancreatic_beta_cell)_(family)"	"member>"
"Voltage-gated_Calcium_Channel_L-type_1.2_(complex)"	"Voltage-gated_Calcium_Channels_Type_Cav1_(closed)_(family)"	"member>"
"Voltage-gated_Calcium_Channel_L-type_1.2_(complex)"	"Voltage-gated_Calcium_Channels_Type_Cav1_(open)_(family)"	"member>"
"Voltage-gated_Calcium_Channel_L-type_1.3_(complex)"	"Voltage-gated_Calcium_Channels_(pancreatic_beta_cell)_(family)"	"member>"
"Voltage-gated_Calcium_Channel_L-type_1.3_(complex)"	"Voltage-gated_Calcium_Channels_Type_Cav1_(closed)_(family)"	"member>"
"Voltage-gated_Calcium_Channel_L-type_1.3_(complex)"	"Voltage-gated_Calcium_Channels_Type_Cav1_(open)_(family)"	"member>"
"Voltage-gated_Calcium_Channel_P/Q-type_2.1_(complex)"	"Voltage-gated_Calcium_Channels_(pancreatic_beta_cell)_(family)"	"member>"
"Voltage-gated_Calcium_Channel_R-type_2.3_(complex)"	"Voltage-gated_Calcium_Channels_(pancreatic_beta_cell)_(family)"	"member>"
"Voltage-gated_Calcium_Channels_Type_Cav1_(closed)_(family)"	"INS"	"-a|"
"Voltage-gated_Calcium_Channels_Type_Cav1_(closed)_(family)"	"Insulin-Zinc-Calcium_Complex_(complex)"	"-a|"
